Store ID,Store Name,Positive Feedback,Feeback Store,Date Opened,Item as Described,Communication,Shipping Speed,Time Scraped
1726275,Jewelry Store2015,1961,97.6,11 Mar 2015,4.7,4.7,4.4,2017-04-30 01:18:06.910245
1087257,Moomphya StreetWear Store,4633,96.4,27 Dec 2013,4.6,4.6,4.5,2017-04-30 01:18:07.901722
2031105,Amazing Hero,8293,98.6,20 Feb 2016,4.8,4.7,4.6,2017-04-30 01:18:08.769287
2304097,Men of the world Store,2204,95.6,08 Jul 2016,4.6,4.6,4.6,2017-04-30 01:18:09.663725
1209587,PioneerCamp Official Flagship Store,38926,98.9,13 Apr 2014,4.8,4.9,4.7,2017-04-30 01:18:10.640402
406498,"Sophia apparel (China) Co., Ltd. More quantity more discount!",59668,97.9,18 Apr 2011,4.7,4.7,4.6,2017-04-30 01:18:11.616283
2215002,"Omnitee Co.,LTD",785,98.2,30 May 2016,4.7,4.6,4.3,2017-04-30 01:18:12.816355
2212118,Epimetheus Store,764,97.8,19 Jun 2016,4.7,4.7,4.5,2017-04-30 01:18:13.699485
1817431,li fen wen na Official Store,16043,97.9,28 May 2015,4.7,4.7,4.6,2017-04-30 01:18:14.753220
2820072,QITONGFU Store,337,97.7,03 Feb 2017,4.7,4.8,4.8,2017-04-30 01:18:15.841635
1972984,good faith management fur,2748,98.2,08 Dec 2015,4.7,4.8,4.8,2017-04-30 01:18:16.795760
2656017,KOLVONANIG Store,690,98.6,09 Oct 2016,4.7,4.7,4.6,2017-04-30 01:18:17.855715
911997,Logeeyar Store,32846,97.1,17 May 2012,4.6,4.7,4.6,2017-04-30 01:18:18.870318
1059151,AMENICER Modern Store,4327,96.9,11 Dec 2013,4.7,4.7,4.7,2017-04-30 01:18:19.812961
1460275,EVOCUST Unique Store,4604,98.3,27 Sep 2014,4.7,4.7,4.6,2017-04-30 01:18:20.721312
2671164,YUANHUIJIA Store,92,95.1,01 Nov 2016,4.6,4.7,4.6,2017-04-30 01:18:21.764308
610063,HZIJUE Hip-Hop Store,14594,96.3,05 Feb 2012,4.6,4.6,4.4,2017-04-30 01:18:22.729087
1507016,CHUKAR BIRD franchised Store,3093,95.9,11 Nov 2014,4.6,4.6,4.5,2017-04-30 01:18:23.835375
2834027,SORRYNA Store,249,100.0,11 Feb 2017,4.9,4.9,4.9,2017-04-30 01:18:24.793013
1769115,POPVISKEY Store,2403,97.8,16 Apr 2015,4.7,4.7,4.6,2017-04-30 01:18:25.804065
1180464,YiRuiSen Store,5541,98.0,12 Mar 2014,4.7,4.7,4.6,2017-04-30 01:18:26.937548
708930,-HOOK-ON-YOU- Store,8653,97.9,16 Sep 2011,4.7,4.7,4.6,2017-04-30 01:18:28.116860
1209587,PioneerCamp Official Flagship Store,38926,98.9,13 Apr 2014,4.8,4.9,4.7,2017-04-30 01:18:29.478520
406498,"Sophia apparel (China) Co., Ltd. More quantity more discount!",59668,97.9,18 Apr 2011,4.7,4.7,4.6,2017-04-30 01:18:30.477743
1713178,Urban boys Store,3707,97.2,03 Mar 2015,4.7,4.7,4.6,2017-04-30 01:18:31.459260
1972984,good faith management fur,2748,98.2,08 Dec 2015,4.7,4.8,4.8,2017-04-30 01:18:32.428683
911997,Logeeyar Store,32846,97.1,17 May 2012,4.6,4.7,4.6,2017-04-30 01:18:33.385373
1817431,li fen wen na Official Store,16043,97.9,28 May 2015,4.7,4.7,4.6,2017-04-30 01:18:34.409867
937555,JustForOuterpass Store,7697,98.5,27 Sep 2013,4.7,4.8,4.6,2017-04-30 01:18:35.332107
1162283,JACKET CORDEE Store,27465,97.8,04 Mar 2014,4.7,4.7,4.6,2017-04-30 01:18:36.348159
1702269,JWJ STORE,20644,98.6,01 Feb 2015,4.8,4.7,4.7,2017-04-30 01:18:37.313430
2666161,uncle Loong Store,823,99.2,28 Oct 2016,4.8,4.7,4.6,2017-04-30 01:18:38.425255
1905738,Fight the tiger tonight,5274,95.0,17 Aug 2015,4.5,4.5,4.3,2017-04-30 01:18:39.312849
2669042,7cm Store,695,97.3,13 Oct 2016,4.6,4.6,4.4,2017-04-30 01:18:40.451043
1721267,Grandwish Men's Store,15995,95.9,07 Mar 2015,4.6,4.7,4.5,2017-04-30 01:18:41.500111
122997,For_Men,1624,97.4,07 Apr 2013,4.7,4.7,4.5,2017-04-30 01:18:42.432657
1942431,YISHENG APPARELOFFICIAL Store,67,100.0,17 Oct 2015,4.9,4.9,4.8,2017-04-30 01:18:43.613272
227278,Yo-Young,1434,97.9,30 May 2013,4.7,4.7,4.6,2017-04-30 01:18:44.752273
2806003,WholesaleNikeNCAA Store,221,97.0,18 Jan 2017,4.7,4.6,4.4,2017-04-30 01:18:45.721339
1702269,JWJ STORE,20644,98.6,01 Feb 2015,4.8,4.7,4.7,2017-04-30 01:18:46.634713
2666161,uncle Loong Store,823,99.2,28 Oct 2016,4.8,4.7,4.6,2017-04-30 01:18:47.824176
2060108,First QSP Shop 9,18467,96.0,03 Mar 2016,4.6,4.7,4.6,2017-04-30 01:18:48.758696
1905738,Fight the tiger tonight,5274,95.0,17 Aug 2015,4.5,4.5,4.3,2017-04-30 01:18:49.610885
2669042,7cm Store,695,97.3,13 Oct 2016,4.6,4.6,4.4,2017-04-30 01:18:50.701734
1721267,Grandwish Men's Store,15995,95.9,07 Mar 2015,4.6,4.7,4.5,2017-04-30 01:18:51.658425
122997,For_Men,1624,97.4,07 Apr 2013,4.7,4.7,4.5,2017-04-30 01:18:52.591041
1942431,YISHENG APPARELOFFICIAL Store,67,100.0,17 Oct 2015,4.9,4.9,4.8,2017-04-30 01:18:53.783735
227278,Yo-Young,1434,97.9,30 May 2013,4.7,4.7,4.6,2017-04-30 01:18:54.816704
527785,PhysiqApparel Store,12087,97.6,02 Jun 2013,4.7,4.7,4.6,2017-04-30 01:18:55.833742
2806003,WholesaleNikeNCAA Store,221,97.0,18 Jan 2017,4.7,4.6,4.4,2017-04-30 01:18:56.720306
1757783,Hi-Man,5434,92.1,03 Apr 2015,4.4,4.4,4.1,2017-04-30 01:18:57.607708
2224060,yu cong Men's garment,1469,94.4,10 Jun 2016,4.5,4.6,4.3,2017-04-30 01:18:58.731084
1110887,Tai Tao Clothing Factory,5992,97.7,11 Feb 2014,4.7,4.7,4.6,2017-04-30 01:18:59.719839
2027080,JPJ,3193,98.1,18 Feb 2016,4.7,4.6,4.3,2017-04-30 01:19:00.830310
406498,"Sophia apparel (China) Co., Ltd. More quantity more discount!",59668,97.9,18 Apr 2011,4.7,4.7,4.6,2017-04-30 01:19:01.993316
1209587,PioneerCamp Official Flagship Store,38926,98.9,13 Apr 2014,4.8,4.9,4.7,2017-04-30 01:19:02.864290
2703015,lizhigang Store,758,98.2,11 Nov 2016,4.5,4.5,4.3,2017-04-30 01:19:03.790129
1972984,good faith management fur,2748,98.2,08 Dec 2015,4.7,4.8,4.8,2017-04-30 01:19:04.774663
1490177,Yitang Store,2985,98.8,20 Oct 2014,4.8,4.8,4.7,2017-04-30 01:19:05.889091
2669073,RTYRYE Store,3008,96.2,17 Oct 2016,4.6,4.6,4.5,2017-04-30 01:19:06.981941
1561193,HELLO VIP,13252,98.4,09 Dec 2014,4.8,4.8,4.6,2017-04-30 01:19:07.896227
1075230,Miss Charm,27162,96.7,13 Dec 2013,4.6,4.6,4.2,2017-04-30 01:19:08.947476
1628526,Band T Shirt,3003,96.5,23 Dec 2014,4.6,4.6,4.5,2017-04-30 01:19:09.916691
236865,fa fa fa Store,1143,95.3,19 Sep 2013,4.6,4.7,4.8,2017-04-30 01:19:10.876003
1240396,Hip Hip God Store,3726,97.5,26 Apr 2014,4.6,4.6,4.5,2017-04-30 01:19:11.759895
2844041,Low price offer Store,210,98.2,13 Feb 2017,4.8,4.8,4.8,2017-04-30 01:19:12.714792
2180158,TARCHIA,1279,99.1,26 May 2016,4.8,4.8,4.6,2017-04-30 01:19:13.664662
